N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 0.004687
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 2048 || counter: 2096128 || Average MET: 0.011250
N: 1024 || counter: 523776 || Average MET: 0.004687
N: 2048 || counter: 2096128 || Average MET: 0.002031
N: 4096 || counter: 8386560 || Average MET: 0.037703
N: 8192 || counter: 33550336 || Average MET: 0.166270
N: 16384 || counter: 134209536 || Average MET: 0.782252
N: 32768 || counter: 536854528 || Average MET: 3.284475
N: 65536 || counter: 2147450880 || Average MET: 13.519073
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 0.001563
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.006406
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.011094
N: 4096 || counter: 8386560 || Average MET: 0.038609
N: 8192 || counter: 33550336 || Average MET: 0.169486
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 2048 || counter: 2096128 || Average MET: 0.006563
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 2048 || counter: 2096128 || Average MET: 0.012812
N: 1024 || counter: 4207456 || Average MET: 0.000000
N: 2048 || counter: 4207456 || Average MET: 0.000000
N: 4096 || counter: 4207456 || Average MET: 0.000000
N: 8192 || counter: 4207456 || Average MET: 0.000000
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.006406
N: 4096 || counter: 8386560 || Average MET: 0.036578
N: 8192 || counter: 33550336 || Average MET: 0.167720
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.009531
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 2048 || counter: 2096128 || Average MET: 0.008125
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 0.007813
N: 1024 || counter: 523776 || Average MET: 0.004687
N: 2048 || counter: 2096128 || Average MET: 0.009844
N: 4096 || counter: 8386560 || Average MET: 0.038484
N: 8192 || counter: 33550336 || Average MET: 0.169473
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.011094
N: 4096 || counter: 8386560 || Average MET: 0.035484
N: 8192 || counter: 33550336 || Average MET: 0.172298
N: 1024 || counter: 523776 || Average MET: 0.004687
N: 2048 || counter: 2096128 || Average MET: 0.009844
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.006406
N: 4096 || counter: 8386560 || Average MET: 0.035016
N: 8192 || counter: 33550336 || Average MET: 0.169127
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.006406
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 2048 || counter: 2096128 || Average MET: 0.009687
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.007969
N: 4096 || counter: 8386560 || Average MET: 0.038297
N: 8192 || counter: 33550336 || Average MET: 0.169455
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 2048 || counter: 2096128 || Average MET: 0.006563
N: 4096 || counter: 8386560 || Average MET: 0.036594
N: 8192 || counter: 33550336 || Average MET: 0.175534
N: 1024 || counter: 523776 || Average MET: 0.004687
N: 2048 || counter: 2096128 || Average MET: 0.014531
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 2048 || counter: 2096128 || Average MET: 0.008125
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.009531
N: 4096 || counter: 8386560 || Average MET: 0.043141
N: 8192 || counter: 33550336 || Average MET: 0.176189
N: 1024 || counter: 523776 || Average MET: 0.004687
N: 2048 || counter: 2096128 || Average MET: 0.008281
N: 4096 || counter: 8386560 || Average MET: 0.033641
N: 8192 || counter: 33550336 || Average MET: 0.170552
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.006406
N: 4096 || counter: 8386560 || Average MET: 0.038141
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 2048 || counter: 2096128 || Average MET: 0.006563
