N: 1024 || counter: 275151 || Average MET: 0.000000
N: 2048 || counter: 1038029 || Average MET: 0.000000
N: 1024 || counter: 254139 || Average MET: 0.000000
N: 2048 || counter: 1070549 || Average MET: 0.000000
N: 1024 || counter: 261015 || Average MET: 0.000000
N: 2048 || counter: 1053071 || Average MET: 0.004687
N: 4096 || counter: 4148534 || Average MET: 0.011406
N: 8192 || counter: 16646957 || Average MET: 0.044891
N: 16384 || counter: 66765825 || Average MET: 0.191989
N: 32768 || counter: 268858347 || Average MET: 0.753574
N: 65536 || counter: 1069289749 || Average MET: 2.969107
N: 1024 || counter: 257365 || Average MET: 0.000000
N: 2048 || counter: 1054460 || Average MET: 0.004687
N: 1024 || counter: 267387 || Average MET: 0.001563
N: 2048 || counter: 1059334 || Average MET: 0.003281
N: 4096 || counter: 4191536 || Average MET: 0.012828
N: 8192 || counter: 16804409 || Average MET: 0.049720
N: 16384 || counter: 66919990 || Average MET: 0.189347
N: 1024 || counter: 265188 || Average MET: 0.001563
N: 2048 || counter: 1055013 || Average MET: 0.001719
N: 4096 || counter: 4217410 || Average MET: 0.012672
N: 8192 || counter: 16730580 || Average MET: 0.046580
N: 16384 || counter: 66949412 || Average MET: 0.182783
N: 32768 || counter: 268560891 || Average MET: 0.754216
N: 65536 || counter: 1071156648 || Average MET: 2.969172
N: 131072 || counter: 13347469 || Average MET: 11.915667
N: 262144 || counter: 4283376499 || Average MET: 47.808754
N: 1024 || counter: 250323 || Average MET: 0.003125
N: 2048 || counter: 1040798 || Average MET: 0.001875
N: 1024 || counter: 266105 || Average MET: 0.001563
N: 2048 || counter: 1040798 || Average MET: 0.004844
N: 4096 || counter: 4214060 || Average MET: 0.011422
N: 8192 || counter: 16766218 || Average MET: 0.048017
N: 1024 || counter: 255685 || Average MET: 0.000000
N: 2048 || counter: 1060103 || Average MET: 0.004687
N: 1024 || counter: 263098 || Average MET: 0.000000
N: 2048 || counter: 1032424 || Average MET: 0.003125
N: 1024 || counter: 255598 || Average MET: 0.003125
N: 2048 || counter: 1032019 || Average MET: 0.003438
N: 1024 || counter: 270020 || Average MET: 0.001563
N: 2048 || counter: 1028482 || Average MET: 0.004844
N: 4096 || counter: 4253155 || Average MET: 0.012984
N: 8192 || counter: 16800111 || Average MET: 0.046611
N: 1024 || counter: 269052 || Average MET: 0.001563
N: 2048 || counter: 1023333 || Average MET: 0.003281
N: 4096 || counter: 4277809 || Average MET: 0.011266
N: 8192 || counter: 16735082 || Average MET: 0.049564
N: 16384 || counter: 67483551 || Average MET: 0.184644
N: 1024 || counter: 265515 || Average MET: 0.001563
N: 2048 || counter: 1041639 || Average MET: 0.004844
N: 4096 || counter: 4214410 || Average MET: 0.016109
N: 8192 || counter: 16726360 || Average MET: 0.046923
N: 1024 || counter: 264149 || Average MET: 0.000000
N: 2048 || counter: 1040781 || Average MET: 0.003125
N: 4096 || counter: 4266518 || Average MET: 0.014375
N: 8192 || counter: 16835934 || Average MET: 0.048312
N: 1024 || counter: 255309 || Average MET: 0.001563
N: 2048 || counter: 1067208 || Average MET: 0.003281
N: 4096 || counter: 4190127 || Average MET: 0.008141
N: 8192 || counter: 16813965 || Average MET: 0.043002
N: 1024 || counter: 247570 || Average MET: 0.001563
N: 2048 || counter: 1056767 || Average MET: 0.003281
N: 1024 || counter: 265678 || Average MET: 0.000000
N: 2048 || counter: 1015200 || Average MET: 0.003125
N: 1024 || counter: 279580 || Average MET: 0.000000
N: 2048 || counter: 1056443 || Average MET: 0.003125
N: 1024 || counter: 261912 || Average MET: 0.000000
N: 2048 || counter: 1040173 || Average MET: 0.003125
N: 4096 || counter: 4225992 || Average MET: 0.009687
N: 8192 || counter: 16832320 || Average MET: 0.047844
N: 1024 || counter: 259481 || Average MET: 0.000000
N: 2048 || counter: 1042631 || Average MET: 0.000000
N: 4096 || counter: 4122943 || Average MET: 0.009375
N: 8192 || counter: 16875102 || Average MET: 0.046250
N: 1024 || counter: 272111 || Average MET: 0.000000
N: 2048 || counter: 1060011 || Average MET: 0.000000
N: 1024 || counter: 262484 || Average MET: 0.001563
N: 2048 || counter: 1035707 || Average MET: 0.004844
N: 4096 || counter: 4264378 || Average MET: 0.012984
N: 8192 || counter: 16907444 || Average MET: 0.048173
N: 1024 || counter: 260365 || Average MET: 0.000000
