N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 0.004687
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 2048 || counter: 2096128 || Average MET: 0.011250
N: 1024 || counter: 523776 || Average MET: 0.004687
N: 2048 || counter: 2096128 || Average MET: 0.002031
N: 4096 || counter: 8386560 || Average MET: 0.037703
N: 8192 || counter: 33550336 || Average MET: 0.166270
N: 16384 || counter: 134209536 || Average MET: 0.782252
N: 32768 || counter: 536854528 || Average MET: 3.284475
N: 65536 || counter: 2147450880 || Average MET: 13.519073
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 0.001563
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.006406
N: 1024 || counter: 523776 || Average MET: 0.001563
N: 2048 || counter: 2096128 || Average MET: 0.011094
N: 4096 || counter: 8386560 || Average MET: 0.038609
N: 8192 || counter: 33550336 || Average MET: 0.169486
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 2048 || counter: 2096128 || Average MET: 0.006563
N: 1024 || counter: 523776 || Average MET: 0.003125
N: 2048 || counter: 2096128 || Average MET: 0.012812
N: 1024 || counter: 4207456 || Average MET: 0.000000
N: 2048 || counter: 4207456 || Average MET: 0.000000
N: 4096 || counter: 4207456 || Average MET: 0.000000
N: 8192 || counter: 4207456 || Average MET: 0.000000
