N: 1024 || counter: 9705 || Average MET: 0.000000
N: 2048 || counter: 21384 || Average MET: 0.000000
N: 1024 || counter: 9679 || Average MET: 0.000000
N: 2048 || counter: 21444 || Average MET: 0.000000
N: 4096 || counter: 46897 || Average MET: 0.000000
N: 1024 || counter: 9704 || Average MET: 0.000000
N: 2048 || counter: 21430 || Average MET: 0.000000
N: 4096 || counter: 46957 || Average MET: 0.001563
N: 1024 || counter: 9669 || Average MET: 0.000000
N: 2048 || counter: 21429 || Average MET: 0.000000
N: 4096 || counter: 46957 || Average MET: 0.001563
N: 1024 || counter: 9695 || Average MET: 0.000000
N: 2048 || counter: 21445 || Average MET: 0.001563
N: 4096 || counter: 46965 || Average MET: 0.003281
N: 1024 || counter: 9674 || Average MET: 0.000000
N: 2048 || counter: 21456 || Average MET: 0.000000
N: 4096 || counter: 46912 || Average MET: 0.001563
N: 1024 || counter: 9709 || Average MET: 0.000000
N: 2048 || counter: 21422 || Average MET: 0.000000
N: 4096 || counter: 46878 || Average MET: 0.000000
