N: 1024 || counter: 256835 || Average MET: 0.000000
N: 2048 || counter: 1004690 || Average MET: 0.003125
N: 4096 || counter: 4175563 || Average MET: 0.011250
N: 1024 || counter: 258593 || Average MET: 0.000000
N: 2048 || counter: 1053968 || Average MET: 0.003125
N: 4096 || counter: 4167432 || Average MET: 0.012812
N: 1024 || counter: 255097 || Average MET: 0.000000
N: 2048 || counter: 1028523 || Average MET: 0.003125
N: 1024 || counter: 268001 || Average MET: 0.000000
N: 2048 || counter: 1007064 || Average MET: 0.004687
N: 4096 || counter: 4157149 || Average MET: 0.012969
N: 1024 || counter: 254239 || Average MET: 0.001563
N: 2048 || counter: 1048332 || Average MET: 0.003281
N: 4096 || counter: 4167216 || Average MET: 0.012828
N: 1024 || counter: 259319 || Average MET: 0.001563
N: 2048 || counter: 1058149 || Average MET: 0.003281
N: 1024 || counter: 7870928 || Average MET: 0.000000
N: 2048 || counter: 7870928 || Average MET: 0.000000
N: 1024 || counter: 255016 || Average MET: 0.000000
N: 2048 || counter: 1058732 || Average MET: 0.001563
N: 1024 || counter: 266218 || Average MET: 0.000000
N: 2048 || counter: 1035317 || Average MET: 0.003125
N: 1024 || counter: 255512 || Average MET: 0.000000
N: 2048 || counter: 1040332 || Average MET: 0.001563
N: 1024 || counter: 265853 || Average MET: 0.000000
N: 2048 || counter: 1045427 || Average MET: 0.001563
N: 1024 || counter: 262863 || Average MET: 0.000000
N: 2048 || counter: 1057330 || Average MET: 0.003125
N: 4096 || counter: 4231031 || Average MET: 0.011250
N: 1024 || counter: 269745 || Average MET: 0.000000
N: 2048 || counter: 1037931 || Average MET: 0.006250
N: 4096 || counter: 4212072 || Average MET: 0.011563
N: 1024 || counter: 246699 || Average MET: 0.000000
N: 2048 || counter: 1061878 || Average MET: 0.003125
N: 4096 || counter: 4137767 || Average MET: 0.011250
N: 1024 || counter: 261014 || Average MET: 0.001563
N: 2048 || counter: 1057350 || Average MET: 0.001719
N: 4096 || counter: 4120065 || Average MET: 0.012672
N: 1024 || counter: 268347 || Average MET: 0.001563
N: 2048 || counter: 1061152 || Average MET: 0.004844
N: 4096 || counter: 4183526 || Average MET: 0.011422
N: 1024 || counter: 259439 || Average MET: 0.001563
N: 2048 || counter: 1066401 || Average MET: 0.003281
N: 4096 || counter: 4167560 || Average MET: 0.011266
