N: 1024 || counter: 11263 || Average MET: 0.000207
N: 2048 || counter: 24575 || Average MET: 0.000456
N: 4096 || counter: 53247 || Average MET: 0.000973
N: 8192 || counter: 114687 || Average MET: 0.002154
N: 16384 || counter: 245759 || Average MET: 0.004719
N: 32768 || counter: 524287 || Average MET: 0.009701
N: 65536 || counter: 1114111 || Average MET: 0.019911
N: 131072 || counter: 2359295 || Average MET: 0.041157
N: 262144 || counter: 4980735 || Average MET: 0.092858
N: 1024 || counter: 1126 || Average MET: 0.000000
N: 2048 || counter: 2458 || Average MET: 0.000000
N: 4096 || counter: 5325 || Average MET: 0.000000
N: 1024 || counter: 11263 || Average MET: 0.000000
N: 1024 || counter: 9670 || Average MET: 0.000000
N: 2048 || counter: 24575 || Average MET: 0.000000
N: 2048 || counter: 21425 || Average MET: 0.000000
N: 4096 || counter: 53247 || Average MET: 0.001563
N: 4096 || counter: 46945 || Average MET: 0.000000
N: 1024 || counter: 11263 || Average MET: 0.000000
N: 1024 || counter: 9686 || Average MET: 0.000000
N: 2048 || counter: 24575 || Average MET: 0.001563
N: 2048 || counter: 21404 || Average MET: 0.000000
N: 4096 || counter: 53247 || Average MET: 0.000156
N: 4096 || counter: 46966 || Average MET: 0.000000
N: 1024 || counter: 11263 || Average MET: 0.000000
N: 1024 || counter: 9692 || Average MET: 0.000000
N: 2048 || counter: 24575 || Average MET: 0.000000
N: 2048 || counter: 21400 || Average MET: 0.000000
N: 1024 || counter: 11263 || Average MET: 0.000000
N: 1024 || counter: 9683 || Average MET: 0.001563
N: 2048 || counter: 24575 || Average MET: 0.000000
N: 2048 || counter: 21438 || Average MET: 0.000156
N: 4096 || counter: 53247 || Average MET: 0.000000
N: 4096 || counter: 46901 || Average MET: 0.000016
N: 1024 || counter: 11263 || Average MET: 0.000000
N: 1024 || counter: 9695 || Average MET: 0.000000
N: 2048 || counter: 24575 || Average MET: 0.000000
N: 2048 || counter: 21391 || Average MET: 0.001563
N: 4096 || counter: 53247 || Average MET: 0.001563
N: 4096 || counter: 46945 || Average MET: 0.000156
N: 1024 || counter: 11263 || Average MET: 0.000000
N: 1024 || counter: 9668 || Average MET: 0.000000
N: 2048 || counter: 24575 || Average MET: 0.001563
N: 2048 || counter: 21429 || Average MET: 0.001563
N: 1024 || counter: 11263 || Average MET: 0.000000
N: 1024 || counter: 1 || Average MET: 0.000000
N: 2048 || counter: 24575 || Average MET: 0.000000
N: 2048 || counter: 1 || Average MET: 0.000000
N: 1024 || counter: 11263 || Average MET: 0.000000
N: 1024 || counter: 9694 || Average MET: 0.000000
N: 2048 || counter: 24575 || Average MET: 0.000000
N: 2048 || counter: 21451 || Average MET: 0.000000
N: 1024 || counter: 11263 || Average MET: 0.000000
N: 1024 || counter: 9678 || Average MET: 0.000000
N: 2048 || counter: 24575 || Average MET: 0.000000
N: 2048 || counter: 21405 || Average MET: 0.000000
N: 1024 || counter: 11263 || Average MET: 0.001563
N: 1024 || counter: 9670 || Average MET: 0.000000
N: 2048 || counter: 24575 || Average MET: 0.000156
N: 2048 || counter: 21398 || Average MET: 0.000000
N: 1024 || counter: 11263 || Average MET: 0.000000
N: 2048 || counter: 24575 || Average MET: 0.000000
N: 1024 || counter: 11263 || Average MET: 0.000000
N: 2048 || counter: 24575 || Average MET: 0.000000
N: 4096 || counter: 53247 || Average MET: 0.000000
