N: 1024 || counter: 9695 || Average MET: 0.000000
N: 2048 || counter: 21413 || Average MET: 0.001563
N: 1024 || counter: 9710 || Average MET: 0.000000
N: 2048 || counter: 21399 || Average MET: 0.003125
N: 1024 || counter: 9670 || Average MET: 0.000000
N: 2048 || counter: 21420 || Average MET: 0.000000
N: 4096 || counter: 46936 || Average MET: 0.000000
N: 8192 || counter: 102049 || Average MET: 0.000000
N: 16384 || counter: 220418 || Average MET: 0.001563
N: 32768 || counter: 473614 || Average MET: 0.003281
N: 65536 || counter: 1013121 || Average MET: 0.015953
N: 1024 || counter: 9688 || Average MET: 0.001563
N: 2048 || counter: 21401 || Average MET: 0.000156
N: 1024 || counter: 9676 || Average MET: 0.000000
N: 2048 || counter: 21418 || Average MET: 0.000000
N: 4096 || counter: 46969 || Average MET: 0.000000
N: 8192 || counter: 102094 || Average MET: 0.001563
N: 16384 || counter: 220540 || Average MET: 0.001719
N: 1024 || counter: 9688 || Average MET: 0.000000
N: 2048 || counter: 21426 || Average MET: 0.000000
N: 4096 || counter: 46890 || Average MET: 0.000000
N: 8192 || counter: 102075 || Average MET: 0.003125
N: 16384 || counter: 220423 || Average MET: 0.003438
N: 32768 || counter: 473715 || Average MET: 0.005031
N: 65536 || counter: 1012860 || Average MET: 0.013003
N: 131072 || counter: 2156749 || Average MET: 0.030988
N: 262144 || counter: 4575883 || Average MET: 0.062474
N: 1024 || counter: 9702 || Average MET: 0.000000
N: 2048 || counter: 21443 || Average MET: 0.000000
N: 1024 || counter: 9866 || Average MET: 0.000000
N: 2048 || counter: 25441 || Average MET: 0.000000
N: 4096 || counter: 51069 || Average MET: 0.000000
N: 8192 || counter: 107719 || Average MET: 1562500.001562
N: 1024 || counter: 9728 || Average MET: 0.000000
N: 2048 || counter: 21260 || Average MET: 0.000000
N: 1024 || counter: 9652 || Average MET: 0.000000
N: 2048 || counter: 21799 || Average MET: 1562500.001562
N: 1024 || counter: 9457 || Average MET: 0.000000
N: 2048 || counter: 22265 || Average MET: 0.000000
N: 1024 || counter: 10069 || Average MET: 0.000000
N: 2048 || counter: 19634 || Average MET: 0.000000
N: 4096 || counter: 47187 || Average MET: 1562500.001562
N: 8192 || counter: 106703 || Average MET: 156250.000156
N: 1024 || counter: 9501 || Average MET: 0.000000
N: 2048 || counter: 24182 || Average MET: 0.000000
N: 4096 || counter: 49288 || Average MET: 0.000000
N: 8192 || counter: 108602 || Average MET: 0.000000
N: 16384 || counter: 234853 || Average MET: 0.000000
N: 1024 || counter: 9759 || Average MET: 0.000000
N: 2048 || counter: 25564 || Average MET: 0.000000
N: 4096 || counter: 53977 || Average MET: 1562500.001562
N: 8192 || counter: 130490 || Average MET: 156250.000156
N: 1024 || counter: 11189 || Average MET: 0.000000
N: 2048 || counter: 20443 || Average MET: 0.000000
N: 4096 || counter: 48649 || Average MET: 1562500.001562
N: 8192 || counter: 99298 || Average MET: 156250.000156
